bikeid,tripduration_mins_sum
4810,1118.32
4811,556.74
4812,460.61
4814,563.95
4815,100.72
4816,603.24
4817,17.73
4820,782.92
4821,174.77
4822,639.99
4824,1044.98
4827,1006.6
4829,774.15
4830,572.19
4832,432.39
4833,1092
4835,622.87
4836,966.75
4837,116.78
4838,1236.78
4840,2197.9
4841,263.61
4843,46.38
4844,411.2
4845,705.31
4846,312.4
4847,582.47
4851,1441.96
4852,138.18
4853,688.3
4854,134.94
4855,169
4856,861.88
4858,946.8
4859,731.39
4860,602.97
4861,1186.67
4862,98.47
4863,1013.67
4864,117.69
4866,413.38
4867,377.2
4868,1279.03
4870,1030.39
4871,736.71
4872,624.04
4873,655.17
4874,416.51
4875,743.51
4876,550.2
4878,608.63
4880,970.42
4883,587.96
4884,157.9
4885,118.29
4886,201.79
4887,815.88
4888,630.71
4889,565.79
4890,787.83
4891,354.54
4894,131.65
4895,613.35
4896,760.56
4898,280.79
4901,596.82
4902,811.68
4904,904.82
4905,580.99
4906,979.27
4908,26.89
4910,845.62
4911,868.44
4912,262.77
4913,376.38
4914,887.49
4915,452.98
4918,1017.28
4919,576.22
4921,571.62
4923,709.87
4924,1187.75
4926,88.28
4928,754.08
4929,831.21
4930,566.93
4932,980.66
4934,76.73
4935,863.99
4937,735.86
4938,205.08
4939,294.92
4941,676.91
4943,210.54
4944,460.56
4945,924.81
4947,890.95
4948,843.3
4949,14.3
4950,797.71
4951,241.75
4953,1136.12
4954,478.44
4955,348.24
4956,926.29
4957,607.06
4958,24.23
4960,513.24
4962,408.92
4964,1013.17
4965,382.96
4966,756.31
4967,729.5
4968,555.13
4969,846.24
4970,850.66
4971,703.22
4972,1018.6
4973,330.53
4977,274.79
4978,792.33
4979,795.67
4980,612.86
4981,837.73
4982,910.91
4983,654.6
4985,826.88
4986,1076.65
4987,298.51
4988,715.49
4989,768.4
4990,808.95
4991,830.33
4994,1030.85
4995,523.36
4996,482.34
4997,601.53
4998,1059.04
5000,128.71
5002,909.69
5003,496.63
5004,156.71
5005,761.89
5006,864.24
5009,80.12
5010,330.71
5011,11.03
5012,1527
5013,585.28
5015,7686.87
5016,929.42
5018,548.19
5019,238.74
5022,642.66
5024,333.4
5025,649.48
5026,1098.15
5028,517.04
5029,38.62
5030,462.98
5031,399.2
5032,381.8
5033,303.08
5034,599.39
5035,685.25
5036,1017.44
5038,41.35
5039,592.16
5040,877.38
5042,558.78
5044,628.16
5046,644.78
5048,355.97
5049,550.07
5050,673.16
5051,189.76
5052,953.02
5053,2761.77
5055,1404.26
5056,718.02
5057,504.07
5061,214.25
5062,868.45
5063,768.26
5064,839.5
5065,501.39
5066,1080.21
5068,754.57
5070,998.03
5071,395.06
5075,799.21
5077,492.09
5078,970.65
5079,291.71
5082,572.46
5083,894.87
5084,623.04
5085,1012.82
5086,188.7
5088,3833.31
5091,377.06
5092,1072.48
5095,941.99
5096,568.07
5097,226.14
5100,958.99
5101,838.55
5103,4024.56
5104,1056.3
5107,985.95
5108,1005.68
5110,27.24
5111,585.36
5112,536.59
5113,798.93
5114,39.5
5115,947.9
5116,441.32
5117,609.38
5120,597.44
5122,697.78
5123,2942.48
5124,884.64
5125,527.85
5126,582.69
5128,886.44
5131,491.42
5137,1093.09
5138,1040.4
5139,483.23
5140,171.36
5141,738.09
5143,592.35
5144,665.32
5145,29.08
5147,1249.28
5148,651.71
5149,947.41
5150,376.75
5151,122.08
5152,591.4
5154,860.73
5156,694.26
5157,604.05
5158,339.37
5160,899.74
5161,750.28
5162,855.98
5163,568.95
5164,2318.57
5165,711.68
5166,493.47
5167,882.31
5168,906.3
5170,429.55
5171,562.41
5172,645.92
5175,442.78
5176,854.19
5177,541.68
5178,737.5
5179,1284.26
5180,538.15
5181,924.42
5182,591.8
5183,1153.81
